backbone,dataset,strategy,avg_pre_acc,avg_post_acc,avg_delta,max_layer_delta,rank_delta_corr,best_val_acc,best_train_acc
facebook/dinov2-base,cifar100,amplify_strong,62.80666666666667,65.49083333333333,2.684166666666665,4.939999999999998,0.961175821133718,93.2,99.03
facebook/dinov2-base,cifar100,proportional,62.80666666666667,65.19416666666667,2.387500000000002,4.579999999999998,0.9464462862097244,93.1,98.93
facebook/dinov2-base,cifar100,support_weak,62.80666666666667,65.37166666666667,2.5650000000000017,4.3500000000000085,-0.9438644057806419,92.99,98.8
facebook/dinov2-base,cifar100,vanilla,62.80666666666667,65.2975,2.490833333333333,4.549999999999997,,93.11,98.75
openai/clip-vit-base-patch16,cifar100,amplify_strong,59.729166666666664,63.31583333333334,3.586666666666671,9.430000000000007,0.8657586297279206,87.53,95.72
openai/clip-vit-base-patch16,cifar100,proportional,59.729166666666664,63.94833333333333,4.219166666666668,9.58999999999999,0.9089771886516487,87.7,96.18
openai/clip-vit-base-patch16,cifar100,support_weak,59.729166666666664,64.01083333333334,4.281666666666667,9.25,-0.913807650037071,87.18,95.34
openai/clip-vit-base-patch16,cifar100,vanilla,59.729166666666664,63.85,4.1208333333333345,9.799999999999997,,88.0,95.76
facebook/dinov2-base,cub200,amplify_strong,40.98205039696237,41.97877114256127,0.9967207455988967,4.245771487745948,-0.004513903575147369,89.28,99.12
facebook/dinov2-base,cub200,proportional,40.98205039696237,42.840294557588315,1.8582441606259354,6.972730410769763,-0.04956244084332845,89.75,99.25
facebook/dinov2-base,cub200,support_weak,40.98205039696237,42.97549188816017,1.9934414911977918,7.093545046599935,0.03907707801975576,89.21,99.07
facebook/dinov2-base,cub200,vanilla,40.98205039696237,42.312449660568404,1.3303992636060304,5.505695547117718,,89.54,98.9
openai/clip-vit-base-patch16,cub200,amplify_strong,32.81555632263261,40.52468070417674,7.709124381544126,22.954780807732128,0.47166085743470915,85.48,95.35
openai/clip-vit-base-patch16,cub200,proportional,32.81555632263261,40.05292831664941,7.2373719940168,21.28063513979979,0.49890520402161304,86.3,95.38
openai/clip-vit-base-patch16,cub200,support_weak,32.81555632263261,40.28592797146474,7.470371648832125,22.764929237141878,-0.5246680200075172,84.64,94.86
openai/clip-vit-base-patch16,cub200,vanilla,32.81555632263261,40.665631112645265,7.8500747900126555,22.454263030721428,,85.45,95.38
facebook/dinov2-base,oxford_pets,amplify_strong,56.207413464159174,57.17270827655128,0.9652948123921133,3.5704551648950655,-0.14932396323731112,95.39,99.92
facebook/dinov2-base,oxford_pets,proportional,56.207413464159174,56.934223675842645,0.7268102116834724,4.851458162987186,0.08734237582128596,95.39,99.84
facebook/dinov2-base,oxford_pets,support_weak,56.207413464159174,57.00009085127646,0.7926773871172893,4.115562823657669,-0.1683488430950318,95.31,99.86
facebook/dinov2-base,oxford_pets,vanilla,56.207413464159174,57.21586263286999,1.0084491687108212,3.952030526028892,,95.15,99.86
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,50.61324611610794,54.3517761424548,3.738530026346871,11.092940855819023,0.444860383182316,93.81,98.7
openai/clip-vit-base-patch16,oxford_pets,proportional,50.61324611610794,54.181429999091485,3.5681838829835546,11.665303897519763,0.44307118057418676,94.11,98.86
openai/clip-vit-base-patch16,oxford_pets,support_weak,50.61324611610794,54.9786499500318,4.365403833923868,13.600436086127019,-0.459004143518347,93.95,98.59
openai/clip-vit-base-patch16,oxford_pets,vanilla,50.61324611610794,54.18824384482602,3.5749977287180887,11.256473153447814,,93.87,99.08
